filename,blob_count
"NvACE2_Stitched[GFP 469,525]_B2_72hpi.png",98396
"PaACE2_Stitched[GFP 469,525]_G2_72hpi.png",76519
"NvACE2_Stitched[GFP 469,525]_G4_48hpi.png",67813
"PaACE2_Stitched[GFP 469,525]_B11_72hpi.png",74579
"PaACE2_Stitched[GFP 469,525]_D7_72hpi.png",73260
"PaACE2_Stitched[GFP 469,525]_C7_72hpi.png",76869
"NvACE2_Stitched[GFP 469,525]_B5_72hpi.png",86302
"PaACE2_Stitched[GFP 469,525]_B3_72hpi.png",80980
"NvACE2_Stitched[GFP 469,525]_B5_48hpi.png",67949
"PaACE2_Stitched[GFP 469,525]_B3_48hpi.png",73792
"NvACE2_Stitched[GFP 469,525]_E2_72hpi.png",100642
"NvACE2_Stitched[GFP 469,525]_F7_48hpi.png",77701
"NvACE2_Stitched[GFP 469,525]_G3_48hpi.png",64508
"hACE2_Stitched[GFP 469,525]_C10_72hpi.png",70314
"NvACE2_Stitched[GFP 469,525]_B8_48hpi.png",85564
"NvACE2_Stitched[GFP 469,525]_E2_48hpi.png",77306
"NvACE2_Stitched[GFP 469,525]_F7_72hpi.png",97056
"hACE2_Stitched[GFP 469,525]_B5_72hpi.png",65039
"NvACE2_Stitched[GFP 469,525]_E9_48hpi.png",68397
"NvACE2_Stitched[GFP 469,525]_D10_72hpi.png",87945
"NvACE2_Stitched[GFP 469,525]_B3_48hpi.png",87259
"NvACE2_Stitched[GFP 469,525]_C7_48hpi.png",85169
"PaACE2_Stitched[GFP 469,525]_B5_48hpi.png",65845
"NvACE2_Stitched[GFP 469,525]_D10_48hpi.png",68407
"NvACE2_Stitched[GFP 469,525]_G8_48hpi.png",63490
"NvACE2_Stitched[GFP 469,525]_C7_72hpi.png",101189
"NvACE2_Stitched[GFP 469,525]_E4_48hpi.png",62433
"PaACE2_Stitched[GFP 469,525]_D11_72hpi.png",70472
"PaACE2_Stitched[GFP 469,525]_B8_48hpi.png",72829
"PaACE2_Stitched[GFP 469,525]_D6_72hpi.png",69067
"PaACE2_Stitched[GFP 469,525]_B8_72hpi.png",79714
